# 2012
signal_2400_1200,isrfsr,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004,1.004
signal_2500_1250,fact,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009
signal_2500_1250,isrfsr,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009

signal_2600_1300,fact,1.01
signal_2600_1300,isrfsr,1.01
signal_2700_1350,fact,1.01
signal_2700_1350,isrfsr,1.01
signal_2800_1400,fact,1.01
signal_2800_1400,isrfsr,1.01
signal_2900_1450,fact,1.01
signal_2900_1450,isrfsr,1.01
signal_3000_1500,fact,1.01
signal_3000_1500,isrfsr,1.01

# these are the average weights in the bins
# jan22rereco
ttjets,GAMMASTATS,0.726529,0.722469,0.761850,0.711613,0.663540,1.107628,0.699178,0.691285
ttjets,gamerr,1.046740,1.072261,1.133337,1.175206,1.239470,1.659244,1.636248,2.091960
zjets,GAMMASTATS,0.171241,0.170862,0.148310,0.138676,0.131537,0.127902,0.129585,0.141926
zjets,gamerr,1.033476,1.048417,1.067920,1.102837,1.135250,1.181143,1.186497,1.311911
other,GAMMASTATS,0.339374,0.331506,0.369315,0.350255,0.062484,0.340280,0.423778,0.160313
other,gamerr,1.097842,1.146959,1.271482,1.292844,1.397499,1.723215,1.892133,2.000000


# prompt+rereco
#ttjets,GAMMASTATS,0.713532,0.713066,0.750994,0.743425,0.665989,0.859806,0.686724,0.679280
#ttjets,gamerr,1.046854,1.073670,1.131370,1.197057,1.258466,1.543233,1.636608,2.093052

#zjets,GAMMASTATS,0.169751,0.167334,0.144363,0.137049,0.137341,0.125663,0.120680,0.142703
#zjets,gamerr,1.033471,1.048332,1.067637,1.103800,1.137532,1.181135,1.190631,1.326327

#other,GAMMASTATS,0.335981,0.332126,0.361166,0.351421,0.064022,0.319749,0.421161,0.159150
#other,gamerr,1.098300,1.148455,1.267352,1.296521,1.412943,1.683014,1.892222,2.000000

# normalization systematics
ttjets,norm,1.019
zjets,norm,1.02656
other,norm,1.050

signal_700_350,mcstats,1.007540
signal_800_400,mcstats,1.005860
signal_900_450,mcstats,1.006334
signal_1000_500,mcstats,1.007607
signal_1100_550,mcstats,1.006839
signal_1200_600,mcstats,1.006721
signal_1300_650,mcstats,1.006671
signal_1400_700,mcstats,1.006502
signal_1500_750,mcstats,1.006413
signal_1600_800,mcstats,1.007220
signal_1700_850,mcstats,1.006663
signal_1800_900,mcstats,1.006417
signal_1900_950,mcstats,1.006991
signal_2000_1000,mcstats,1.006729
signal_2100_1050,mcstats,1.006168
signal_2200_1100,mcstats,1.006115
signal_2300_1150,mcstats,1.006077
signal_2400_1200,mcstats,1.006061
signal_2500_1250,mcstats,1.005294
signal_2600_1300,mcstats,1.005870
signal_2700_1350,mcstats,1.005073
signal_2800_1400,mcstats,1.005460
signal_2900_1450,mcstats,1.005412
signal_3000_1500,mcstats,1.004767

other,lumi,1.044
signal_1000_500,lumi,1.044
signal_1100_550,lumi,1.044
signal_1200_600,lumi,1.044
signal_1300_650,lumi,1.044
signal_1400_700,lumi,1.044
signal_1500_750,lumi,1.044
signal_1600_800,lumi,1.044
signal_1700_850,lumi,1.044
signal_1800_900,lumi,1.044
signal_1900_950,lumi,1.044
signal_2000_1000,lumi,1.044
signal_2100_1050,lumi,1.044
signal_2200_1100,lumi,1.044
signal_2300_1150,lumi,1.044
signal_2400_1200,lumi,1.044
signal_2500_1250,lumi,1.044
signal_2600_1300,lumi,1.044
signal_2700_1350,lumi,1.044
signal_2800_1400,lumi,1.044
signal_2900_1450,lumi,1.044
signal_3000_1500,lumi,1.044


# Reco systematics
