# 2011
signal_1100_550,mcstats,1.02
signal_1200_600,mcstats,1.02
signal_1300_650,mcstats,1.02
signal_1400_700,mcstats,1.02
signal_1500_750,mcstats,1.02
signal_1600_800,mcstats,1.02
signal_1700_850,mcstats,1.02
signal_1800_900,mcstats,1.02
signal_1900_950,mcstats,1.02
signal_2000_1000,mcstats,1.02
signal_2100_1050,mcstats,1.02
signal_2200_1100,mcstats,1.02
signal_2300_1150,mcstats,1.02
signal_2400_1200,mcstats,1.02
signal_2500_1250,mcstats,1.02
signal_2600_1300,mcstats,1.02
signal_2700_1350,mcstats,1.02
signal_2800_1400,mcstats,1.02
signal_2900_1450,mcstats,1.02
signal_3000_1500,mcstats,1.02

other,lumi,1.030
signal_1000_500,lumi,1.030
signal_1100_550,lumi,1.030
signal_1200_600,lumi,1.030
signal_1300_650,lumi,1.030
signal_1400_700,lumi,1.030
signal_1500_750,lumi,1.030
signal_1600_800,lumi,1.030
signal_1700_850,lumi,1.030
signal_1800_900,lumi,1.030
signal_1900_950,lumi,1.030
signal_2000_1000,lumi,1.030
signal_2100_1050,lumi,1.030
signal_2200_1100,lumi,1.030
signal_2300_1150,lumi,1.030
signal_2400_1200,lumi,1.030
signal_2500_1250,lumi,1.030
signal_2600_1300,lumi,1.030
signal_2700_1350,lumi,1.030
signal_2800_1400,lumi,1.030
signal_2900_1450,lumi,1.030
signal_3000_1500,lumi,1.030

# Jet Energy Scale
#ttjets,jes,1.069,1.107,1.116,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150,1.150
zjets,jes,1.030
other,jes,1.025
signal_1000_500,jes,1.005
signal_1100_550,jes,1.005
signal_1200_600,jes,1.005
signal_1300_650,jes,1.005
signal_1400_700,jes,1.005
signal_1500_750,jes,1.005
signal_1600_800,jes,1.005
signal_1700_850,jes,1.005
signal_1800_900,jes,1.005
signal_1900_950,jes,1.005
signal_2000_1000,jes,1.005
signal_2100_1050,jes,1.005
signal_2200_1100,jes,1.005
signal_2300_1150,jes,1.005
signal_2400_1200,jes,1.005
signal_2500_1250,jes,1.005
signal_2600_1400,jes,1.005
signal_2700_1350,jes,1.005
signal_2800_1400,jes,1.005
signal_2900_1450,jes,1.005
signal_3000_1500,jes,1.005

# Jet Energy Resolution
#ttjets,jer,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
zjets,jer,1.002
other,jer,1.008
signal_1000_500,jer,1.002
signal_1100_550,jer,1.002
signal_1200_600,jer,1.002
signal_1300_650,jer,1.002
signal_1400_700,jer,1.002
signal_1500_750,jer,1.002
signal_1600_800,jer,1.002
signal_1700_850,jer,1.002
signal_1800_900,jer,1.002
signal_1900_950,jer,1.002
signal_2000_1000,jer,1.002
signal_2100_1050,jer,1.002
signal_2200_1100,jer,1.002
signal_2300_1150,jer,1.002
signal_2400_1200,jer,1.002
signal_2500_1250,jer,1.002
signal_2600_1300,jer,1.002
signal_2700_1350,jer,1.002
signal_2800_1400,jer,1.002
signal_2900_1450,jer,1.002
signal_3000_1500,jer,1.002

# Electron Energy Scale
#ttjets,ees,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003,1.003
zjets,ees,1.002
other,ees,1.002
signal_1000_500,ees,1.002
signal_1100_550,ees,1.002
signal_1200_600,ees,1.002
signal_1300_650,ees,1.002
signal_1400_700,ees,1.002
signal_1500_750,ees,1.002
signal_1600_800,ees,1.002
signal_1700_850,ees,1.002
signal_1800_900,ees,1.002
signal_1900_950,ees,1.002
signal_2000_1000,ees,1.002
signal_2100_1050,ees,1.002
signal_2200_1100,ees,1.002
signal_2300_1150,ees,1.002
signal_2400_1200,ees,1.002
signal_2500_1250,ees,1.002
signal_2600_1300,ees,1.002
signal_2700_1350,ees,1.002
signal_2800_1400,ees,1.002
signal_2900_1450,ees,1.002
signal_3000_1500,ees,1.002

# Electron Identification
#ttjets,eid,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015
zjets,eid,1.003
other,eid,1.09
signal_1000_500,eid,1.090
signal_1100_550,eid,1.090
signal_1200_600,eid,1.090
signal_1300_650,eid,1.090
signal_1400_700,eid,1.090
signal_1500_750,eid,1.090
signal_1600_800,eid,1.090
signal_1700_850,eid,1.090
signal_1800_900,eid,1.090
signal_1900_950,eid,1.090
signal_2000_1000,eid,1.100
signal_2100_1050,eid,1.100
signal_2200_1100,eid,1.100
signal_2300_1150,eid,1.100
signal_2400_1200,eid,1.100
signal_2500_1250,eid,1.100
signal_2600_1300,eid,1.100
signal_2700_1350,eid,1.100
signal_2800_1400,eid,1.100
signal_2900_1450,eid,1.100
signal_3000_1500,eid,1.100

# Trigger (truncating when error less than 0.1%)
#ttjets,trig,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002,1.002
zjets,trig,1.003
other,trig,1.020
signal_1000_500,trig,1.020
signal_1100_550,trig,1.019
signal_1200_600,trig,1.018
signal_1300_650,trig,1.017
signal_1400_700,trig,1.016
