#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
TTJets_DiLept_v2	/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2_ext1-v1/MINIAODSIM	5.672e+01	2.215e-01	24521141	/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shervin-TTJets_DiLept_v2_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	4827971
TTJets_amctnlo	/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v3/MINIAODSIM	6.669e+02	7.850e+00	42784971	/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-TTJets_amctnlo_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	1845180
TTJets_madgraph	/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	5.145e+02	2.006e+00	11344206	/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shervin-TTJets_madgraph_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	481475
TT_amcatnlo	/TT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.791e+02	1.142e+00	18994000	/TT_TuneCUETP8M1_13TeV-amcatnlo-pythia8/shervin-TT_amcatnlo_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	813039
TT_powheg_v1	/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.300e+02	6.623e-01	19757190	/TT_TuneCUETP8M1_13TeV-powheg-pythia8/shervin-TT_powheg_v1_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	785991
TT_powheg_v2	/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2_ext3-v1/MINIAODSIM	7.300e+02	6.623e-01	96834559	/TT_TuneCUETP8M1_13TeV-powheg-pythia8/shervin-TT_powheg_v2_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	3859320
#	##################
DYJets_amctnlo	/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	5.915e+03	3.414e+01	28747969	/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/shervin-DYJets_amctnlo_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	2954524
DYJets_madgraph	/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.978e+03	1.796e+01	9042031	/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shervin-DYJets_madgraph_SHv2-268f42a0545bb6ce2052dd5a41d331a8/USER	868353
#	##
