#name	dataset	cross_sxn(pb)	filter_eff	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
WRtoEEJJ_2800_1400	/WRToNuEToEEJJ_MW-2800_MNu-1400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	9.439e-03	2.627e-05	50000	9.439e-03	2.627e-05
WRtoEEJJ_3000_1500	/WRToNuEToEEJJ_MW-3000_MNu-1500_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	6.030e-03	1.659e-05	50000	5.958e-03	2.653e-04
WRtoEEJJ_3200_1600	/WRToNuEToEEJJ_MW-3200_MNu-1600_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.888e-03	1.072e-05	48220	3.900e-03	1.502e-05
WRtoEEJJ_3600_1800	/WRToNuEToEEJJ_MW-3600_MNu-1800_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.663e-03	4.382e-06	49290	1.665e-03	6.634e-06
WRtoEEJJ_3800_1900	/WRToNuEToEEJJ_MW-3800_MNu-1900_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.100e-03	2.878e-06	48524	1.095e-03	4.781e-06
WRtoEEJJ_4000_2000	/WRToNuEToEEJJ_MW-4000_MNu-2000_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	7.242e-04	1.825e-06	50000	7.273e-04	2.533e-06
WRtoEEJJ_4200_2100	/WRToNuEToEEJJ_MW-4200_MNu-2100_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	4.798e-04	1.179e-06	50000	4.799e-04	1.248e-06
WRtoEEJJ_4400_2200	/WRToNuEToEEJJ_MW-4400_MNu-2200_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	3.175e-04	7.705e-07	49051	3.175e-04	7.705e-07
WRtoEEJJ_4600_2300	/WRToNuEToEEJJ_MW-4600_MNu-2300_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	2.117e-04	4.970e-07	49796	2.117e-04	4.970e-07
WRtoEEJJ_4800_2400	/WRToNuEToEEJJ_MW-4800_MNu-2400_TuneCUETP8M1_13TeV-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	1.414e-04	3.210e-07	50000	1.414e-04	3.210e-07
