channel   DY   data/DY   leadLeptPtCut   subleadLeptPtCut   leadJetPtCut   subleadJetPtCut
EE	POWHEG	1.25775	33	29	30	30
EE	MADHT	0.998783	33	29	30	30
 
MuMu	AMC	0.96073	33	29	30	30
MuMu	POWHEG	1.52749	33	29	30	30
MuMu	MADHT	1.14757	33	29	30	30
 
EE	AMC	0.805931	35	25	30	30
EE	POWHEG	1.23659	35	25	30	30
EE	MADHT	0.969625	35	25	30	30
 
MuMu	AMC	0.973879	35	25	30	30
MuMu	POWHEG	1.54595	35	25	30	30
MuMu	MADHT	1.1494	35	25	30	30
 
EE	AMC	0.81887	35	29	30	30
EE	POWHEG	1.2572	35	29	30	30
EE	MADHT	0.999361	35	29	30	30
 
MuMu	AMC	0.96021	35	29	30	30
MuMu	POWHEG	1.52362	35	29	30	30
MuMu	MADHT	1.14626	35	29	30	30
 
EE	AMC	0.820679	35	31	30	30
EE	POWHEG	1.26042	35	31	30	30
EE	MADHT	1.01235	35	31	30	30
 
MuMu	AMC	0.960342	35	31	30	30
MuMu	POWHEG	1.52305	35	31	30	30
MuMu	MADHT	1.14953	35	31	30	30
 
EE	AMC	0.818886	37	29	30	30
EE	POWHEG	1.2561	37	29	30	30
EE	MADHT	1.00084	37	29	30	30
 
MuMu	AMC	0.960066	37	29	30	30
MuMu	POWHEG	1.52106	37	29	30	30
MuMu	MADHT	1.14774	37	29	30	30
 
EE	AMC	0.822597	37	33	30	30
EE	POWHEG	1.25574	37	33	30	30
EE	MADHT	1.01158	37	33	30	30
 
MuMu	AMC	0.965336	37	33	30	30
MuMu	POWHEG	1.5045	37	33	30	30
MuMu	MADHT	1.14969	37	33	30	30
 
EE	AMC	0.820643	40	33	30	30
EE	POWHEG	1.24795	40	33	30	30
EE	MADHT	1.01319	40	33	30	30
 
MuMu	AMC	0.966068	40	33	30	30
MuMu	POWHEG	1.49721	40	33	30	30
MuMu	MADHT	1.15227	40	33	30	30
 
EE	AMC	0.816793	40	35	30	30
EE	POWHEG	1.22306	40	35	30	30
EE	MADHT	1.01835	40	35	30	30
 
MuMu	AMC	0.962448	40	35	30	30
MuMu	POWHEG	1.48188	40	35	30	30
MuMu	MADHT	1.15775	40	35	30	30
 
EE	AMC	0.798371	33	20	35	35
EE	POWHEG	1.3192	33	20	35	35
EE	MADHT	0.971875	33	20	35	35
 
MuMu	AMC	0.971742	33	20	35	35
MuMu	POWHEG	1.7025	33	20	35	35
MuMu	MADHT	1.16527	33	20	35	35
 
EE	AMC	0.810377	33	25	35	35
EE	POWHEG	1.34583	33	25	35	35
EE	MADHT	0.974515	33	25	35	35
 
MuMu	AMC	0.97125	33	25	35	35
MuMu	POWHEG	1.71571	33	25	35	35
MuMu	MADHT	1.16944	33	25	35	35
 
EE	AMC	0.825616	33	29	35	35
EE	POWHEG	1.35946	33	29	35	35
EE	MADHT	1.01097	33	29	35	35
 
MuMu	AMC	0.953287	33	29	35	35
MuMu	POWHEG	1.67235	33	29	35	35
MuMu	MADHT	1.16206	33	29	35	35
 
EE	AMC	0.812594	35	25	35	35
EE	POWHEG	1.34665	35	25	35	35
EE	MADHT	0.97626	35	25	35	35
 
MuMu	AMC	0.970571	35	25	35	35
MuMu	POWHEG	1.71069	35	25	35	35
MuMu	MADHT	1.16782	35	25	35	35
 
EE	AMC	0.827027	35	29	35	35
EE	POWHEG	1.35971	35	29	35	35
EE	MADHT	1.01187	35	29	35	35
 
MuMu	AMC	0.952945	35	29	35	35
MuMu	POWHEG	1.66775	35	29	35	35
MuMu	MADHT	1.16068	35	29	35	35
 
EE	AMC	0.828489	35	31	35	35
EE	POWHEG	1.36557	35	31	35	35
EE	MADHT	1.02467	35	31	35	35
 
MuMu	AMC	0.956805	35	31	35	35
MuMu	POWHEG	1.66017	35	31	35	35
MuMu	MADHT	1.16402	35	31	35	35
 
EE	AMC	0.826014	37	29	35	35
EE	POWHEG	1.35703	37	29	35	35
EE	MADHT	1.01323	37	29	35	35
 
MuMu	AMC	0.952908	37	29	35	35
MuMu	POWHEG	1.66364	37	29	35	35
MuMu	MADHT	1.1613	37	29	35	35
 
EE	AMC	0.828358	37	33	35	35
EE	POWHEG	1.35492	37	33	35	35
EE	MADHT	1.02566	37	33	35	35
 
MuMu	AMC	0.960665	37	33	35	35
MuMu	POWHEG	1.62659	37	33	35	35
MuMu	MADHT	1.16425	37	33	35	35
 
EE	AMC	0.82664	40	33	35	35
EE	POWHEG	1.34392	40	33	35	35
EE	MADHT	1.02566	40	33	35	35
 
MuMu	AMC	0.960479	40	33	35	35
MuMu	POWHEG	1.61887	40	33	35	35
MuMu	MADHT	1.16761	40	33	35	35
 
EE	AMC	0.822719	40	35	35	35
EE	POWHEG	1.30823	40	35	35	35
EE	MADHT	1.03081	40	35	35	35
 
MuMu	AMC	0.957164	40	35	35	35
MuMu	POWHEG	1.5938	40	35	35	35
MuMu	MADHT	1.17083	40	35	35	35
 
EE	AMC	0.803048	33	20	40	40
EE	POWHEG	1.44955	33	20	40	40
EE	MADHT	0.981253	33	20	40	40
 
MuMu	AMC	0.985141	33	20	40	40
MuMu	POWHEG	1.86273	33	20	40	40
MuMu	MADHT	1.17753	33	20	40	40
 
EE	AMC	0.814911	33	25	40	40
EE	POWHEG	1.47083	33	25	40	40
EE	MADHT	0.982444	33	25	40	40
 
MuMu	AMC	0.982844	33	25	40	40
MuMu	POWHEG	1.86801	33	25	40	40
MuMu	MADHT	1.17713	33	25	40	40
 
EE	AMC	0.830257	33	29	40	40
EE	POWHEG	1.47299	33	29	40	40
EE	MADHT	1.01374	33	29	40	40
 
MuMu	AMC	0.961933	33	29	40	40
MuMu	POWHEG	1.8135	33	29	40	40
MuMu	MADHT	1.17639	33	29	40	40
 
EE	AMC	0.816088	35	25	40	40
EE	POWHEG	1.47161	35	25	40	40
EE	MADHT	0.983941	35	25	40	40
 
MuMu	AMC	0.981847	35	25	40	40
MuMu	POWHEG	1.86147	35	25	40	40
MuMu	MADHT	1.17492	35	25	40	40
 
EE	AMC	0.830779	35	29	40	40
EE	POWHEG	1.47422	35	29	40	40
