#WR mass	Nu mass	efficiencyFraction
2800	900	60.69
2800	1000	64.16
2800	1100	66.78
2800	1200	67.84
2800	1300	70.4
2800	1400	71.75
2800	1500	71.58
2800	1600	72.72
2800	1700	72.9
2800	1800	73.56
2800	1900	73.1
2800	2000	72.23
2800	2100	73.34
2800	2200	72.27
2800	2300	72.82
2800	2400	71.47
2800	2500	70.73
2800	2600	67.2
2800	2700	59.93
2900	100	0.02
2900	200	1.39
2900	300	7.17
2900	400	17.95
2900	500	30.09
2900	600	40.05
2900	700	49.46
2900	800	54.87
2900	900	59.65
2900	1000	63.03
2900	1100	65.83
2900	1200	67.57
2900	1300	70.36
2900	1400	70.02
2900	1500	71.42
2900	1600	71.91
2900	1700	73.23
2900	1800	73.21
2900	1900	73.33
2900	2000	72.65
2900	2100	72.26
2900	2200	73.25
2900	2300	71.49
2900	2400	72.75
2900	2500	71.79
2900	2600	70.01
2900	2700	66.97
2900	2800	58.09
3000	100	0.01
3000	200	1.19
3000	300	6.19
3000	400	16.86
3000	500	28.08
3000	600	39.73
3000	700	49.21
3000	800	54.4
3000	900	60.26
3000	1000	62.63
3000	1100	66.34
3000	1200	68.98
3000	1300	70.17
3000	1400	71.73
3000	1500	72.07
3000	1600	73.25
3000	1700	72.62
3000	1800	74.17
3000	1900	74.48
3000	2000	73.64
3000	2100	74.3
3000	2200	73.78
3000	2300	73.37
3000	2400	73.24
3000	2500	73.27
3000	2600	72.43
3000	2700	72.13
3000	2800	68.51
3000	2900	61.18
3100	100	0.02
3100	200	0.88
3100	300	6.06
3100	400	15.17
3100	500	26.76
3100	600	37.59
3100	700	47.89
3100	800	53.77
3100	900	58.99
3100	1000	61.57
3100	1100	65.25
3100	1200	67.58
3100	1300	69.42
3100	1400	70.59
3100	1500	71.25
3100	1600	72.37
3100	1700	72.93
3100	1800	73.62
3100	1900	73.81
3100	2000	73.96
3100	2100	74.29
3100	2200	74.22
3100	2300	73.91
3100	2400	73.49
3100	2500	73.3
3100	2600	73.66
3100	2700	72.69
3100	2800	71.11
3100	2900	67.43
3100	3000	59.03
3200	100	0.02
3200	200	1.1
3200	300	5.45
3200	400	14.06
3200	500	25.35
3200	600	36.15
3200	700	46.02
3200	800	52.76
3200	900	58.17
3200	1000	62.63
3200	1100	65.81
3200	1200	67.76
3200	1300	69.94
3200	1400	71.46
3200	1500	72.88
3200	1600	73.64
3200	1700	73.97
3200	1800	74.75
3200	1900	74.27
3200	2000	74.41
3200	2100	74.55
3200	2200	74.63
3200	2300	74.3
3200	2400	75.24
3200	2500	74
3200	2600	74.43
3200	2700	73.42
3200	2800	73.24
3200	2900	72.14
3200	3000	69.91
3200	3100	62.73
3300	100	0.01
3300	200	0.92
3300	300	5.24
3300	400	13.31
3300	500	23.7
3300	600	35.58
3300	700	44.66
3300	800	51.77
3300	900	57.87
3300	1000	60.74
3300	1100	64.02
3300	1200	68.04
3300	1300	69.41
3300	1400	70.65
3300	1500	72.88
3300	1600	73.17
3300	1700	74.41
3300	1800	74.18
3300	1900	74.62
3300	2000	75.69
3300	2100	75.24
3300	2200	74.22
3300	2300	74.68
3300	2400	74.4
3300	2500	74.4
3300	2600	74.86
3300	2700	74.41
3300	2800	74.34
3300	2900	74.38
3300	3000	72.89
3300	3100	70
3300	3200	63.45
3400	100	0.02
3400	200	0.87
3400	300	4.63
3400	400	12.4
3400	500	23.03
3400	600	33.82
3400	700	43.67
3400	800	51.21
3400	900	56.5
3400	1000	60.89
3400	1100	64.87
3400	1200	68.42
3400	1300	68.51
3400	1400	71.1
