#WR mass	Nu mass	efficiencyFraction
2800	1000	62.83
2800	1100	66.03
2800	1200	67.83
2800	1300	68.98
2800	1400	70.18
2800	1500	71.88
2800	1600	70.98
2800	1700	71.48
2800	1800	71.1
2800	1900	71.18
2800	2000	71.22
2800	2100	71.84
2800	2200	71.15
2800	2300	70.43
2800	2400	71.23
2800	2500	69.26
2800	2600	64.98
2800	2700	53.77
2900	100	0.01
2900	200	1.47
2900	300	6.86
2900	400	17.18
2900	500	29.32
2900	600	40.3
2900	700	49.13
2900	800	54.78
2900	900	59.22
2900	1000	62.69
2900	1100	65.77
2900	1200	67.42
2900	1300	69.01
2900	1400	70.15
2900	1500	70.74
2900	1600	70.56
2900	1700	71.64
2900	1800	72.17
2900	1900	72.64
2900	2000	72.97
2900	2100	72.17
2900	2200	71.89
2900	2300	71.08
2900	2400	70.76
2900	2500	70.94
2900	2600	68.86
2900	2700	64.95
2900	2800	53.38
3000	100	0.02
3000	200	1.13
3000	300	6.25
3000	400	15.33
3000	500	28.2
3000	600	38.47
3000	700	47.65
3000	800	53.12
3000	900	57.71
3000	1000	61.54
3000	1100	64.22
3000	1200	67.71
3000	1300	69.03
3000	1400	70.96
3000	1500	71.2
3000	1600	71.48
3000	1700	72.23
3000	1800	72.68
3000	1900	72.4
3000	2000	72.28
3000	2100	72.67
3000	2200	72.55
3000	2300	72.42
3000	2400	72.3
3000	2500	71.4
3000	2600	70.54
3000	2700	69.19
3000	2800	65.85
3000	2900	55.64
3100	100	0.01
3100	200	0.86
3100	300	5.61
3100	400	15.11
3100	500	26.39
3100	600	37.65
3100	700	45.63
3100	800	53.23
3100	900	58.22
3100	1000	61.38
3100	1100	65.21
3100	1200	66.29
3100	1300	68.03
3100	1400	70.35
3100	1500	70.25
3100	1600	70.83
3100	1700	72.56
3100	1800	72.7
3100	1900	72.74
3100	2000	72.57
3100	2100	72.57
3100	2200	72.26
3100	2300	73.13
3100	2400	71.97
3100	2500	72.09
3100	2600	72.07
3100	2700	71.46
3100	2800	69.99
3100	2900	65.89
3100	3000	55.09
3200	100	0.02
3200	200	0.9
3200	300	5.54
3200	400	13.57
3200	500	24.64
3200	600	35.82
3200	700	45.05
3200	800	51.4
3200	900	57.05
3200	1000	59.86
3200	1100	63.98
3200	1200	66.18
3200	1300	67.32
3200	1400	70.05
3200	1500	70.79
3200	1600	72.25
3200	1700	72.21
3200	1800	73.23
3200	1900	72.6
3200	2000	73.09
3200	2100	73.53
3200	2200	73.36
3200	2300	73.03
3200	2400	73.51
3200	2500	72.21
3200	2600	73.05
3200	2700	72.32
3200	2800	71.57
3200	2900	69.78
3200	3000	66.12
3200	3100	54.53
3300	100	0
3300	200	0.69
3300	300	5.09
3300	400	13.14
3300	500	23.17
3300	600	34.87
3300	700	43.24
3300	800	50.36
3300	900	55.37
3300	1000	60.19
3300	1100	64.36
3300	1200	65.28
3300	1300	67.72
3300	1400	69.53
3300	1500	70.3
3300	1600	71.49
3300	1700	72.33
3300	1800	72.64
3300	1900	73.3
3300	2000	73.43
3300	2100	73.94
3300	2200	73.85
3300	2300	73.68
3300	2400	73.33
3300	2500	72.6
3300	2600	72.55
3300	2700	72.55
3300	2800	71.58
3300	2900	71.98
3300	3000	69.85
3300	3100	67.05
3300	3200	55.16
3400	100	0.02
3400	200	0.82
3400	300	4.27
3400	400	11.8
3400	500	21.31
3400	600	32.85
3400	700	42.48
3400	800	48.65
3400	900	55.41
3400	1000	59.51
3400	1100	62.16
3400	1200	64.17
3400	1300	68.21
3400	1400	69.36
3400	1500	70.61
3400	1600	70.82
3400	1700	71.98
3400	1800	72.8
3400	1900	73.06
3400	2000	73.5
3400	2100	73.52
3400	2200	73.75
3400	2300	72.47
3400	2400	74.38
3400	2500	73.17
3400	2600	73.01
3400	2700	72.26
3400	2800	72.45
3400	2900	71.91
3400	3000	71.47
3400	3100	70.14
3400	3200	65.79
3400	3300	55.07
3500	100	0
3500	200	0.64
3500	300	4.02
3500	400	10.82
3500	500	20.38
3500	600	31.51
3500	700	39.97
3500	800	47.53
3500	900	53.95
3500	1000	57.89
3500	1100	62.72
3500	1200	65.03
3500	1300	67.42
3500	1400	68.83
3500	1500	70.35
3500	1600	71.71
3500	1700	73.47
3500	1800	72.49
3500	1900	73.66
3500	2000	74.28
3500	2100	73.87
3500	2200	73.72
3500	2300	74.14
3500	2400	73.99
3500	2500	74.03
3500	2600	73.48
3500	2700	73.28
3500	2800	73.51
3500	2900	73.67
3500	3000	72.82
3500	3100	71.72
3500	3200	70.12
3500	3300	66.36
3500	3400	56.18
3600	100	0.01
3600	200	0.61
3600	300	3.8
3600	400	10.39
3600	500	19.87
3600	600	30.07
3600	700	38.02
3600	800	47.29
3600	900	52.21
3600	1000	57.63
3600	1100	61.57
3600	1200	63.48
3600	1300	66.78
3600	1400	68.71
3600	1500	70.29
3600	1600	71.44
3600	1700	72.31
3600	1800	72.37
3600	1900	73.15
3600	2000	73.75
3600	2100	73.66
3600	2200	74.09
3600	2300	74.15
3600	2400	74.63
3600	2500	74.21
3600	2600	74.19
3600	2700	73.48
3600	2800	73.66
3600	2900	73.48
3600	3000	73.12
3600	3100	72.48
3600	3200	73.17
3600	3300	69.79
3600	3400	67.24
3600	3500	56.16
3700	100	0
3700	200	0.5
3700	300	3.48
3700	400	9.17
3700	500	17.8
3700	600	26.72
3700	700	37.02
3700	800	45.22
3700	900	52.02
3700	1000	56.54
3700	1100	59.94
3700	1200	62.78
3700	1300	65.44
3700	1400	68.44
3700	1500	68.66
3700	1600	71.53
3700	1700	72.02
3700	1800	73.18
3700	1900	73.85
3700	2000	73.76
3700	2100	74.29
3700	2200	74.73
3700	2300	73.61
3700	2400	74.7
3700	2500	74.1
3700	2600	74.14
3700	2700	74.02
3700	2800	74.52
3700	2900	73.19
3700	3000	73.01
3700	3100	73.31
3700	3200	73.17
3700	3300	72.83
3700	3400	70.81
3700	3500	65.88
3700	3600	56.46
3800	100	0
3800	200	0.52
3800	300	3.09
3800	400	8.54
3800	500	17.59
3800	600	26.65
3800	700	35.62
3800	800	43.15
3800	900	50.9
3800	1000	55.67
3800	1100	60.38
3800	1200	62.83
3800	1300	65.83
3800	1400	67.29
3800	1500	69.51
3800	1600	70.12
3800	1700	71.71
3800	1800	72.36
3800	1900	73.59
3800	2000	73.94
3800	2100	73.84
3800	2200	74.9
3800	2300	74.48
3800	2400	73.92
3800	2500	74.84
3800	2600	74.5
3800	2700	74.15
3800	2800	74.22
3800	2900	73.49
3800	3000	73.63
3800	3100	73.46
3800	3200	73.49
3800	3300	73.4
3800	3400	73.17
3800	3500	70.47
3800	3600	67.06
3800	3700	55.11
3900	100	0.01
3900	200	0.3
3900	300	2.9
3900	400	8.21
3900	500	16.11
3900	600	24.84
3900	700	34.47
3900	800	42.71
3900	900	49.18
3900	1000	54.8
3900	1100	58.55
3900	1200	61.25
3900	1300	64.79
3900	1400	67.03
3900	1500	69.71
3900	1600	71.26
3900	1700	71.45
3900	1800	72.06
3900	1900	73
3900	2000	74.03
3900	2100	74.65
3900	2200	74.87
3900	2300	74.11
3900	2400	74.87
3900	2500	75.39
3900	2600	75.47
3900	2700	74.88
3900	2800	74.48
3900	2900	73.73
3900	3000	74.85
3900	3100	74.21
3900	3200	73.79
3900	3300	72.94
3900	3400	73.93
3900	3500	71.89
3900	3600	70.55
3900	3700	67.23
3900	3800	57.19
4000	100	0.01
4000	200	0.57
4000	300	2.42
4000	400	7.48
4000	500	14.7
4000	600	24.06
4000	700	32.96
4000	800	41.1
4000	900	47.45
4000	1000	53.57
4000	1100	57.28
4000	1200	61.23
4000	1300	62.95
4000	1400	66.25
4000	1500	68.99
4000	1600	69.25
4000	1700	71.03
4000	1800	72.3
4000	1900	74.06
4000	2000	74.2
4000	2100	73.31
4000	2200	74.73
4000	2300	74.15
4000	2400	75.16
4000	2500	75.47
4000	2600	75.35
4000	2700	75.12
4000	2800	75.23
4000	2900	74.43
4000	3000	74.44
4000	3100	74.64
4000	3200	74.72
4000	3300	73.99
4000	3400	73.9
4000	3500	73.76
4000	3600	72.04
4000	3700	70.61
4000	3800	67.07
4000	3900	57.14
